Titel;Nøgle
Brutto mdl;tafPensionstillaegBruttoMdl
FOP - Fradragsbeløb enlig;tafPensionstillaegFOPFradragsbeloebEnlig
FOP - Fradragsbeløb enlig årligt;tafPensionstillaegFOPFradragsbeloebEnligAarligt
FOP - Nedsættelses% enlig;tafPensionstillaegFopNedsaettelsespctEnlig
FOP - Sats enlig;tafPensionstillaegFOPSatsEnlig
FOP - Sats enlig mdl;tafPensionstillaegFOPSatsEnligMdl
Nedsættelse;tafPensionstillaegNedsaettelse
Brutto ekskl indregning mdl;tafPensionstillBruttoEksklIndregningMdl
Brutto for opgørelsesperioden, afrundet;tafPensionstillBruttoForOpgperiodenAfrundet
Brutto mdl;tafPensionstillBruttoMdl
FOP - Fradragsbeløb samliv årligt;tafPensionstillFOPFradragsbeloebSamlivAarligt
FOP - Nedsættelses% samliv;tafPensionstillFOPNedsaettelsesPctSamliv
FOP - Sats samliv;tafPensionstillFOPSatsSamliv
Brutto ekskl indregning mdl;tafPenstillBruttoEksIndregningMdl
Brutto mdl;tafPenstillBruttoMdl
Brutto for opgørelsesperioden, afrundet;tafPenstillBruttoOpgoerperiodenAfrundet
Brutto for opgørelsesperioden, ikke afrundet;tafPenstillBruttoOpgoerperiodenEjAfrundet
FOP - Fradragsbeløb enlig;tafPensTillFopFradragsbeloebEnlig
Gl FØP - Fradragsbeløb samliv;tafPensTillFopFradragsbeloebSamliv
Gl FØP - Fradragsbeløb enlig;tafPenstillFradragsbeloebEnlig
TPensionstillæg Gl FØP – Fradragsbeløb enlig;tafPenstillFradragsbeloebEnligSamliv
TPensionstillæg Gl FØP - Fradragsbeløb enlig årligt;tafPenstillFradragsbeloebEnligSamlivAarligt
Gl FØP - Fradragsbeløb enlig årligt;tafPenstillFradragsbeloebEnligAarligt
Gl FØP - Fradragsbeløb samliv;tafPenstillGlFoepFradragsbeloebSamliv
Gl FØP - Fradragsbeløb samliv årligt;tafPenstillGlFoepFradragsbeloebSamlivAarligt
Gl FØP - Nedsættelses% samliv;tafPenstillGlFoepNedsaettelsesprocent
Gl FØP - Nedsættelses% samliv;tafPenstillGlFoepNedsaettelsesprocentSamliv
Pensionstillæg Gl FØP - Sats enlig;tafPenstillGlFoepSats
Gl FØP - Sats samliv mdl;tafPenstillGlFoepSatsMdl
Gl FØP - Sats samliv;tafPenstillGlFoepSatsSamliv
Halvdelsregel - Gl FØP, særregel;tafPenstillHalvdelsreglGlFoepSaerregl
Halvdelsreglen - Gl FØP, samlever ikke pensionist, årligt;tafPenstillHalvdelsreglGlFoepSamleverEjPens
Halvdelsreglen - Gl FØP, samlever ikke pensionist, årligt;tafPenstillHalvdelsreglGlFoepSamleverEjPensAarligt
Nedsættelse;tafPenstillNedsaettelse
Nedsættelse brøk, afrundet;tafPenstillNedsaettelseBroekAfrundet
Ægtefælle/samlever;tafPersondataAegtefaelleSamlever
taf Personlig tillægsprocent Beregnet procent;tafPersonligBeregnetProcent
FOP - Fradragsbeløb enlig;tafPersonligTillaegspctFOPFradragsbeloebEnlig
FOP - Fradragsbeløb samliv årligt;tafPersonligTillpctFopFradragsbeloebSamlivAarligt
FOP - Fradragsbeløb enlig;tafPersTillprocentFopFradragsbeloebEnlig
FOP - Fradragsbeløb samliv;tafPersTillprocentFopFradragsbeloebSamliv
Nedsættelse;tafPersTillprocentNedsaettelse
FOP - Nedsættelsesbeløb enlig;tafPerTillprocentFopNedsatbeloebEnlig
taf Varmetillæg Procent tal;tafProcentTal
Opgørelsesstatus;tafSamlivOpgoerstatus
Skattekorttype;tafSkatSkattekorttype
Dynamisk tabel – kommende udbetaling af efterlevelsespension;tafSkattepligtBevYdelserBeloeb
Trækprocent;tafSkatTraekPct
Gr.beløb + pens.till brutto;tafUdskudtGrBeloebOgPenstillBrutto
tafUdskudtVentepctSamlet;tafUdskudtVentepctSamlet
taf Varmetillæg Varmekompensationsbeløb;tafVarmekompensationsbeloeb
taf Varmetillæg Varmeperiode Beløb;tafVarmeperiodeBeloeb
taf Varmetillæg Varmeperide Dato;tafVarmeperiodeDato
taf Varmetillæg Beløb uden fradrag kollektiv opvarmning;tafVarmetillaegBeloebUdenFradragKollektivOpv
taf Varmetillæg Varmeudgift i alt;tafVarmetillaegIAlt
Opgørelsesperioden, før indregning;tafVarmetillaegOpgoerelsesperiodenFoerIndregning
taf Varmetillæg Opgøreselsperiode Slutdato;tafVarmetillOpgPeriodeSlutDato
Varmetillæg Opgøreselsperiode Startdato;tafVarmetillOpgPeriodeStartDato
taf Varmetillæg Varmeudgift gennemsnit;tafVarmeudgiftGennemsnit
Ydelsesreduktion Skattefri, i førstkommende udbetaling;tafYdelsesreduktionSkattefriSamlet
Skattepl. slutdato i måneden;tafYdelsesreduktionSkatteplSlutdatoIMaaneden
Skattepl. startdato i måneden;tafYdelsesreduktionSkatteplStartdatoIMaaneden
taf Varmetillæg Årligt - Efter varmekomp;tafAarligtEfterVarmekomp
Indeværende år;tafAarstalIndvAar
taf Varmetillæg Årligt - Uden fradrag kollektiv opvarmning;tafAarligtUdenFradragKollektivOpv
TABEL - tB10A_EjSKATPersIndkomstUdoverSocPen;tB10A_EjSKATPersIndkomstUdoverSocPen
TABEL - tB10A_EjSKATKapitalindkomst;tB10A_EjSKATKapitalindkomst
TABEL - tB10A_EjSKATAktieindkomstmv;tB10A_EjSKATAktieindkomstmv
TABEL - tB10A_EjSKATArbejdsindkomst;tB10A_EjSKATArbejdsindkomst
porPersIndkomstUdoverSocPen;porPersIndkomstUdoverSocPen
porKapitalindkomster;porKapitalindkomster
porAktieindkomstermv;porAktieindkomstermv
tafVarmetillAendringsdato;tafVarmetillAendringsdato
tafVarmetillAendringUdbdato;tafVarmetillAendringUdbdato
tafVarmetillBeloebUdenFradragKollektivOpv;tafVarmetillBeloebUdenFradragKollektivOpv
tafVarmetillDiffSamlet;tafVarmetillDiffSamlet
tafVarmetillGraenseBeregningsgrundlagProcentdel;tafVarmetillGraenseBeregningsgrundlagProcentdel
tafVarmetillOpgoerperiodeDato;tafVarmetillOpgoerperiodeDato
tafVarmetillOpgoerperiodeSlutdato;tafVarmetillOpgoerperiodeSlutdato
tafVarmetillOpgoerperiodeStartdato;tafVarmetillOpgoerperiodeStartdato
tafVarmetillOpvarmningsform;tafVarmetillOpvarmningsform
tafVarmetillReguleringsbeloebIAlt;tafVarmetillReguleringsbeloebIAlt
tafVarmeudgiftPeriode;tafVarmeudgiftPeriode
tafVarmetillaegTidlUdbetalMdl;tafVarmetillaegTidlUdbetalMdl
tafVarmetillaegTidlUdbetaltPeriode;tafVarmetillaegTidlUdbetaltPeriode
tafVarmetillaegOpgPeriodenFoerIndregning;tafVarmetillaegOpgPeriodenFoerIndregning
tafVarmetillaegPeriodeBeloeb;tafVarmetillaegPeriodeBeloeb
tafVarmetillaegReguleringVedAendring;tafVarmetillaegReguleringVedAendring
tafVarmetillaegGraenseBeregningsgrundlagPct;tafVarmetillaegGraenseBeregningsgrundlagPct
tafVarmetillaegAntalMaanederVarmetillOpg;tafVarmetillaegAntalMaanederVarmetillOpg
tafUdskudtVentetillaegBruttoMdl;tafUdskudtVentetillaegBruttoMdl
tafVarmekilde;tafVarmekilde
tafUdskudtEngangsbeloebFoerSkat;tafUdskudtEngangsbeloebFoerSkat
tafUdskudtGrBeloebPenstillBrutto;tafUdskudtGrBeloebPenstillBrutto
tafUdskudtLivsvarigVenteprocentSamlet;tafUdskudtLivsvarigVenteprocentSamlet
tafUdskudtLivsvarigVenteprocentSenestePeriode;tafUdskudtLivsvarigVenteprocentSenestePeriode
tafudskudtLivsvarigVentetillBruttoMdl;tafudskudtLivsvarigVentetillBruttoMdl
tafUdskudtSlutdatodatoEjIndberettetPeriode;tafUdskudtSlutdatodatoEjIndberettetPeriode
tafUdskudtSlutdatodatoIndberettetPeriode;tafUdskudtSlutdatodatoIndberettetPeriode
tafUdskudtSlutdatoEjIndberettetPeriode;tafUdskudtSlutdatoEjIndberettetPeriode
tafUdskudtSlutdatoIndberrettetPeriode;tafUdskudtSlutdatoIndberrettetPeriode
tafUdskudtStartdatoEjIndberettetPeriode;tafUdskudtStartdatoEjIndberettetPeriode
tafSidsteDagKommendeUdbetalingsMaaned;tafSidsteDagKommendeUdbetalingsMaaned
tafSamletBrutto2DispDato;tafSamletBrutto2DispDato
tafSamleverArbindk;tafSamleverArbindk
tafSamleverSamletEfterBundfradrag;tafSamleverSamletEfterBundfradrag
tafPersTillprocentFopFradragsbeloebSamlivAarligt;tafPersTillprocentFopFradragsbeloebSamlivAarligt
tafPersTillprocentFopFradragsbeloebAarligt;tafPersTillprocentFopFradragsbeloebAarligt
tafPersTillprocenFopNedsaettelsesbeloebSamliv;tafPersTillprocenFopNedsaettelsesbeloebSamliv
tafPersonligTillpctFOPFradragsbeloebEnlig;tafPersonligTillpctFOPFradragsbeloebEnlig
tafPersonligTillpctFOPFradragsbeloebSamliv;tafPersonligTillpctFOPFradragsbeloebSamliv
tafPersonligTillaegsprocentFOPFradragsbeloebenligAarligt;tafPersonligTillaegsprocentFOPFradragsbeloebenligAarligt
tafPersonligTillaegspctFOPNedsaettelsesbeloebEnlig;tafPersonligTillaegspctFOPNedsaettelsesbeloebEnlig
tafPensNettokapitalindk;tafPensNettokapitalindk
tafPensPersIndk;tafPensPersIndk
tafPensSamletEfterBundfradrag;tafPensSamletEfterBundfradrag
tafPensTillFopFradragsbeloebEnligAarligt;tafPensTillFopFradragsbeloebEnligAarligt
tafPensionstillFOPFradragsbeloebEnlig;tafPensionstillFOPFradragsbeloebEnlig
tafPensionstillFOPFradragsbeloebEnligAarligt;tafPensionstillFOPFradragsbeloebEnligAarligt
tafPensionstillaegIndregning;tafPensionstillaegIndregning
tafOpgoerperiodeAntalMaaneder;tafOpgoerperiodeAntalMaaneder
tafOpgperiodeAntalMdr;tafOpgperiodeAntalMdr
tafPensAktieindkUdbytte;tafPensAktieindkUdbytte
tafPensArbejdsindk;tafPensArbejdsindk
tafPensionistArbejdsindkomstEfterBundfradrag;tafPensionistArbejdsindkomstEfterBundfradrag
tafPensionstilaeægFOPFradragsbeloebEnlig;tafPensionstilaeægFOPFradragsbeloebEnlig
tafNyIndkomst;tafNyIndkomst
tafMaksberegningsgrundAlmSats;tafMaksberegningsgrundAlmSats
tafMaksberegningsgrundForhoejetSats;tafMaksberegningsgrundForhoejetSats
tafIndkSamleverAktieindkUdbytte;tafIndkSamleverAktieindkUdbytte
tafIndkSamleverNettokapitalindk;tafIndkSamleverNettokapitalindk
tafIndkSamleverPersIndk;tafIndkSamleverPersIndk
tafLabelPeriodeSlut;tafLabelPeriodeSlut
tafLabelPeriodeStart;tafLabelPeriodeStart
tafIndkomstSamleverSamletEfterBund;tafIndkomstSamleverSamletEfterBund
tafIndkPensAktieindkUdbytte;tafIndkPensAktieindkUdbytte
tafIndkPensNettokapitalindk;tafIndkPensNettokapitalindk
tafIndkPensPersIndk;tafIndkPensPersIndk
tafIndkPensSamletEfterEvtBundfradrag;tafIndkPensSamletEfterEvtBundfradrag
tafIndkomstSamleverAktieindkomstUdbytte;tafIndkomstSamleverAktieindkomstUdbytte
tafIndkomstSamleverArbindkomst;tafIndkomstSamleverArbindkomst
tafIndkomstSamletEfterEvtBund;tafIndkomstSamletEfterEvtBund
tafHusholdningsfradragVarmekilde;tafHusholdningsfradragVarmekilde
tafEfrBeloebUdbetaltPeriode;tafEfrBeloebUdbetaltPeriode
tafEfrBeloebBerettigetPeriode;tafEfrBeloebBerettigetPeriode
tafDatoSamlivAendretOplystDato;tafDatoSamlivAendretOplystDato
Sidste dag i kommende udbetalingsmåned;tafDatoSidstedagIKommendeUdbetalingsmaaned
tafDato1KommendeUdbetalingsmaaned;tafDato1KommendeUdbetalingsmaaned
tafDato1Reguleringsperiode;tafDato1Reguleringsperiode
tafDato2Reguleringsperiode;tafDato2Reguleringsperiode
tafBopæaelstidBopaelsaar;tafBopæaelstidBopaelsaar
tafBopaelstidStartdato;tafBopaelstidStartdato
tafBopaelstidSlutdato;tafBopaelstidSlutdato
tafBeregningsgrundlagVarmekilderNyt;tafBeregningsgrundlagVarmekilderNyt
tafBeregningsgrundlagVarmekilde;tafBeregningsgrundlagVarmekilde
tafAskat2Disp;tafAskat2Disp
tafATPSUPPPensionistAndelMdl;tafATPSUPPPensionistAndelMdl
tafATPSUPPPensionistAndelRegulering;tafATPSUPPPensionistAndelRegulering
tafBeloebIAltPeriodeReguleringVarmetillaeg;tafBeloebIAltPeriodeReguleringVarmetillaeg
tafBeloebMdlReguleringVarmetillaeg;tafBeloebMdlReguleringVarmetillaeg
tafBeloebNetto;tafBeloebNetto
tafBeloebOvergangFoepTilFop;tafBeloebOvergangFoepTilFop
tafAntalMaanederOpgoerelsesperioden;tafAntalMaanederOpgoerelsesperioden
tafAdresselinje1;tafAdresselinje1
tabVarmetillEfterVarmekompStoerreEnd0;tabVarmetillEfterVarmekompStoerreEnd0
tabVarmetillTilbagebetalingSamlivsaendring;tabVarmetillTilbagebetalingSamlivsaendring
tabVarmetillTilgodeSamlivsaendring;tabVarmetillTilgodeSamlivsaendring
tabUdenlandskSocialPensionSamordnetIkkeHelaar1Opg;tabUdenlandskSocialPensionSamordnetIkkeHelaar1Opg
tabTidligereperiodeOptjentLivsvarigVenteprocent;tabTidligereperiodeOptjentLivsvarigVenteprocent
tabSelvstandigVirksomhedIkkeHelaarFlereOpg;tabSelvstandigVirksomhedIkkeHelaarFlereOpg
tabPersonligIndkomstInklSocialPensionErNegativSamlever;tabPersonligIndkomstInklSocialPensionErNegativSamlever
tabPersonligIndkomstNegativBorgerGift;tabPersonligIndkomstNegativBorgerGift
tabPersonligIndkomstNegativBorgerIkkeGift;tabPersonligIndkomstNegativBorgerIkkeGift
tabPersIndkNegativBgGift;tabPersIndkNegativBgGift
tabPensionstillaegBruttoEksklIndregningMdl;tabPensionstillaegBruttoEksklIndregningMdl
tabPensionstilleagBruttoEksklIndregningMdl;tabPensionstilleagBruttoEksklIndregningMdl
tabPensionstillHalvdelsreglenFOPSamleverIkkePensionist;tabPensionstillHalvdelsreglenFOPSamleverIkkePensionist
tabLoopSag;tabLoopSag
tabLoopSagBg;tabLoopSagBg
tabLoopSagSamlever;tabLoopSagSamlever
tabIndkomst;tabIndkomst
tabKapitalOgAktieindkomstIkkeHelaarFlereOpg;tabKapitalOgAktieindkomstIkkeHelaarFlereOpg
tabKollektivOpvVarmekilde;tabKollektivOpvVarmekilde
tabGrundbeloeb;tabGrundbeloeb
tabIkkeLoopsag;tabIkkeLoopsag
tabIkkeLoopsagSamlever;tabIkkeLoopsagSamlever
tabEnOpgperiodeSamleversNavnUkendt;tabEnOpgperiodeSamleversNavnUkendt
tabFlereVarmetillOpgoerelsesperioder;tabFlereVarmetillOpgoerelsesperioder
tabEnOpgoerelsesperiode;tabEnOpgoerelsesperiode
tabEjLoopSagSamlever;tabEjLoopSagSamlever
tabEjLoopSafSamlever;tabEjLoopSafSamlever
tabEjLoopSag;tabEjLoopSag
tabEjLoopSagBg;tabEjLoopSagBg
tabBgErEnlig;tabBgErEnlig
tabBgErEnligBorEUEOESCH;tabBgErEnligBorEUEOESCH
tabBgErSamlevende;tabBgErSamlevende
tabBgErSamlevendeBorEUEOESCH;tabBgErSamlevendeBorEUEOESCH
tabBorgerBorIEtEUEØSLandEllerSchweiz;tabBorgerBorIEtEUEØSLandEllerSchweiz
tabBorgerErEnligOgBorIEU-EOES-CH;tabBorgerErEnligOgBorIEU-EOES-CH
tabBorgerSamlevendeBorIEUEØSCH;tabBorgerSamlevendeBorIEUEØSCH
porKapitalindkomst;porKapitalindkomst
porOvergangFoepTilFopYdelser;porOvergangFoepTilFopYdelser
porSkattepligtigYdelser;porSkattepligtigYdelser
porVarmetill;porVarmetill
porAktieindkomstmv;porAktieindkomstmv
porArbejdsindkomst;porArbejdsindkomst
porArbejdsinkomster;porArbejdsinkomster
porAtpSupp;porAtpSupp
porEfterreguleredeYdelser;porEfterreguleredeYdelser
TA - Varmetillæg regulering;tVarmetillaegRegulering
Varmetillæg udbetalt i perioden;tafVarmetillaegOpgoerelsesperiodenUdbetalt
Varmetillæg forskel i perioden;tafVarmetillaegOpgoerelsesperiodenForskel
Intern modregning ;ab-intern-modregning
AF – Beløb Intern modregning;af-beloeb-intern-modregning
AB – Intern modregning i EFR-tilgodehavende på disp.dato1 ;ab-intern-modregning-i-efr-tilgodehavende-paa-disp-dato1
AB – Intern modregning i EFR-tilgodehavende på disp.dato2 ;ab-intern-modregning-i-efr-tilgodehavende-paa-disp-dato2
EFR-år som tilgodehavende med modregning vedrører;af-efr-aar-som-tilgodehavende-med-modregning-vedroerer
EFR-år som tilgodehavende med modregning vedrører - eng;af-efr-aar-som-tilgodehavende-med-modregning-vedroerer-eng
AB – Intern modregning i EFR-tilgodehavende på disp.dato1 næste år ;ab-intern-modregning-i-efr-tilgodehavende-paa-disp-dato1-naeste-aar
AB – Intern modregning i EFR-tilgodehavende på disp.dato2 næste år ;ab-intern-modregning-i-efr-tilgodehavende-paa-disp-dato2-naeste-aar
Årstal 2 år tilbage;af-aarstal-2-aar-tilbage
Ændring fra disp.dato1 til 2;ab-aendring-disp-dato-1-2
Ingen ændring fra disp.dato1 til 2;ab-ingen-aendring-disp-dato-1-2
mb-mangler-varmetillaegsansoegning;MB - Mangler varmetillægsansøgning?
mb-mangler-oplysning-om-varmeudgift;MB - Mangler oplysning om varmeudgift?
Borger har ret til pensionstillæg i aio;ab-borger-har-ret-til-pensionstillaeg-i-aio
Tilkendelse kun fremadrettet;mb-tilkendelse-kun-fremadrettet
Tilkendelse både fremadrettet og med tilbagevirkende kraft;mb-tilkendelse-baade-fremadrettet-og-med-tilbagevirkende-kraft
Tilføj yderligere bemærkninger hvis afslag med tilbagevirkende kraft;mf-tilfoej-yderligere-bemaerkninger-hvis-afslag-med-tilbagevirkende-kraft
Tilføj evt. yderligere bemærkninger;mf-tilfoej-evt-yderligere-bemaerkninger
tafSamletPensionOpgoerelsesperiode;tafSamletPensionOpgoerelsesperiode
tafSamletMaanedligPensionOpgoerelsesperiode;tafSamletMaanedligPensionOpgoerelsesperiode
tafGrundbeloebBruttoOpgoerelsesperiodeAfrundet;tafGrundbeloebBruttoOpgoerelsesperiodeAfrundet
tafPensionstillaegBruttoOpgoerelsesperiodeAfrundet;tafPensionstillaegBruttoOpgoerelsesperiodeAfrundet
tafGrundbeloebPensiontillaegBruttoOpgoerelsesperiode;tafGrundbeloebPensiontillaegBruttoOpgoerelsesperiode
tafLivsvarigtVentetillaegBruttoOpgoerelsesperiode;tafLivsvarigtVentetillaegBruttoOpgoerelsesperiode
taf10aarigtVenteprocentPensionstillaegSenesteOpsaetningsperiode;taf10aarigtVenteprocentPensionstillaegSenesteOpsaetningsperiode
tafPensionstillaegBruttoOpgoerelsesperiode;tafPensionstillaegBruttoOpgoerelsesperiode
taf10aarigVentetillaegPensionstillaegSenesteOpsaetningsperiodeBruttoOpgoerelsesperiode;taf10aarigVentetillaegPensionstillaegSenesteOpsaetningsperiodeBruttoOpgoerelsesperiode
taf10aarigVenteprocentHelePensionenSenesteOpsaetningsperiode;taf10aarigVenteprocentHelePensionenSenesteOpsaetningsperiode
taf10aarigVentetillaegHelePensionenSenesteOpsaetningsperiodeBruttoOpgoerelsesperiode;taf10aarigVentetillaegHelePensionenSenesteOpsaetningsperiodeBruttoOpgoerelsesperiode
MF - Skriv årsag til ringeforbud - se efterfølgende eksempler på begrundelse;mf-skriv-aarsag-til-ringeforbud-se-efterfoelgende-eksempler-paa-begrundelse
Tillægsprocent seneste beregning afsendt;ab-tillaegsprocent-seneste-beregning-afsendt
Tillægsprocent seneste beregning afsendt;af-tillaegsprocent-seneste-beregning-afsendt
EFR Beløb skattepligtig effektuering summeret;af-efr-beloeb-skattepligtig-effektuering-summeret
EFR Beløb Skattefri effektuering summeret;af-efr-beloeb-skattefri-effektuering-summeret
Mangler vi oplysninger?;mb-mangler-vi-oplysninger
Skal der sendes arbejdgivererklæring?;mb-skal-der-sendes-arbejdsgivererklaering
Ansøgning med tilbagevirkende kraft?;mb-ansoegning-med-tilbagevirkende-kraft
Pensionstillæg Gl. Foep Sats;tafPenstillGlFoepSatsEnlig
Brev sendt pba batchjob beregn ældrecheck;ab-brev-sendt-pba-batchjob-beregn-aeldrecheck
Ingen ændring udb fra disp.dato 2 til 3;ab-ingen-aendring-udb-fra disp-dato-2-3
Disp dato udb restpension afdød ægtefælle;af-disp-dato-udb-restpension-afdoed-aegtefaelle
MB - Er det en løbende ydelse uden tilbagebetaling;mb-er-det-en-loebende-ydelse-uden-tilbagebetaling
MB - Er det en løbende ydelse med tilbagebetaling;mb-er-det-en-loebende-ydelse-med-tilbagebetaling
MF - Skriv dato + 4 uger fra idag;mf-skriv-dato-4uger-fra-idag
MB - Er der kommet nye væsentlige regler?;mb-er-der-kommet-nye-vaesentlige-regler
MB - Er der væsentlige sagsbehandlingsfejl i tidligere afgørelse?;mb-er-der-vaesentlige-sagsbehandlingsfejl-i-tidligere-afgoerelse
MB - Skal der oprettes et dansk CPR-nummer?;mb-skal-der-oprettes-et-dansk-cpr-nummer
MB - Har borger søgt dansk seniorpension?;mb-har-borger-soegt-dansk-seniorpension
MF - Skriv borgers kommentarer eller 'You have not responded to our inquiry';mf-skriv-borgers-kommentarer-eller-you-have-not-responded-to-our-inquiry
MF - Skriv evt. 'We do not believe that this could lead to a change in assessment';mf-skriv-evt-we-do-not-believe-that-this-could-lead-to-a-change-in-assessment
MF - Skriv dato + 2 uger fra idag;mf-skriv-dato+2uger-fra-idag
MB - Skal vi anmode om oplysninger til udbetaling for første gang;mb-skal-vi-anmode-om-oplysninger-til-udbetaling-for-foerste-gang
MB - Skal vi rykke for oplysninger til udbetaling;mb-skal-vi-rykke-for-oplysninger-til-udbetaling
Lukkes sag pga. manglende medvirke;mb-lukkes-sag-pga-manglende-medvirke
MB - Er borger flyttet fra et konv./3. land til EU/EØS, Schweiz eller Storbritannien;mb-er-borger-flyttet-fra-et-konv-3-land-til-eu-eoes-schweiz-eller-storbritannen
MB-Er borger flyttet til et EU-land og er pensionen uændret;mb-er-borger-flyttet-til-et-eu-land-og-er-pensionen-uaendret
Samlevende  ved AIO 2022;ab-samlevende-ved-AIO-2022
MB - Er frist på endeligt krav udløbet?;mb-er-frist-paa-endeligt-krav-udloebet
MB - Samlever søgte varmetillæg først;mb-samlever-soegte-varmetillaeg-foerst  
MB - Samlevers tillægsprocent er højest;mb-samlevers-tillaegsprocent-er-hoejest
MB - Alternativt ophørskriterie;mb-alternativt-ophoerskriterie
MB - Er der gjort indsigelse i partshøringsperioden;mb-er-der-gjort-indsigelse-i-partshoeringsperioden
Beregning fra 2023;tabBeregningFra2023
MB - Rykker vi myndighed for afgørelse og optjeningstider;mb-rykker-vi-myndighed-for-afgoerelse-og-optjeningstider
MB - Rykker vi myndighed for optjeningstider;mb-rykker-vi-myndighed-for-optjeningstider
MB - Rykker vi myndighed for optjeningstider og er afgørelse allerede modtaget;mb-rykker-vi-myndighed-for-optjeningstider-og-er-afgoerelse-allerede-modtaget
MF - Skriv sidste bopæls kommune;mf-skriv-sidste-bopaels-kommune
Pensionstype art;af-pensionstype-art
MB - Vi anmoder udenlandsk myndighed om optjeningstider;mb-vi-anmoder-udenlandsk-myndighed-om-optjeningstider
MB - Vi sender optjeningstider til udenlandsk myndighed;mb-vi-sender-optjeningstider-til-udenlandsk-myndighed
MB - Er sagen overtaget fra Seniorpensionsenheden?;mb-er-sagen-overtaget-fra-seniorpensionsenheden
Virksomhed borger;tabVirksomhedBorger
Virksomhed samlever;tabVirksomhedSamlever
Virksomhed borger og samlever;tabVirksomhedBorgerOgSamlever
Virksomhed aktiv borger;tabVirksomhedAktivBorger
Samlever samme opg.per.;tabSamleverSammeOpgper
tabTalvaerdiVises;tabTalvaerdiVises
Virksomhed;tabVirksomhed
Ret til varmetillæg for afdøde næste år;tabRetTilVarmetillaegForAfdoedeNaesteAar
b212_en;b212_en
b212b_en;b212b_en
MB - Skal der vedhæftes GDPR orientering?;mb-skal-der-vedhaeftes-gdpr-orientering
MB - Er det returpost?;mb-er-det-returpost
MB - Er det udlandsflytning - kendt land / ukendt adresse?;mb-er-udlandsflytning-kendt-land-ukendt-adresse
MB - Er det udlandsflytning - ukendt land?;mb-er-det-udlandsflytning-ukendt-land
MB - Er der sammenfald i forhold til kommunens krav?;mb-er-der-sammenfald-i-forhold-til-kommunens-krav
Ingen efterlevelsespension næste år;tabIngenEfterlevelsespensionNaesteAar 
MB - Har kommunen et krav?;mb-har-kommunen-et-krav
tVirksomhed;tVirksomhed
Netto samlever uden efterregueringling tilgodehavende;af-netto-samlever-uden-efr-tilgodehavende
MB - Er den udenlandske myndighed med i RINA?;mb-er-den-udenlandske-myndighed-med-i-rina
MF - Skriv navn på klager uden fuldmagt;mf-skriv-navn-på-klager-uden-fuldmagt
MF - Skriv 'ham' eller 'hende';mf-skriv-ham-eller-hende
Restpension netto;af-restpension-netto
Restpension brutto;af-restpension-brutto
Restpension skat;af-restpension-skat
MF - skriv dato 3 mdr frem fra d.d;mf-skriv-dato-3-mdr-frem-fra-dd
MF - skriv dato 4 uger frem fra d.d;mf-skriv-dato-4-mdr-frem-fra-dd
MB - Afventer vi oplysninger fra myndigheden?;mb-afventer-vi-oplysninger-fra-myndigheden
MB - Skal oplysninger oversættes eller genvurderes hos lægen?;mb-skal-oplysninger-oversaettes-eller-genvurderes-hos-laegen
Virksomhed borger ændret, beregning uændret ;ab-virksomhed-borger-aendret-beregning-uaendret
Virksomhed samlever ændret, beregning uændret ;ab-virksomhed-samlever-aendret-beregning-uaendret
Efterlevelsespension ophører januar næste år;ab-efterlevelsespension-ophoerer-januar-naeste-aar
MF - Skriv det land hvor borger har fast adresse;mf-skriv-det-land-hvor-borger-har-fast-adresse
MF - Skriv det land hvor borger tager midlertidigt ophold;mf-skriv-det-land-hvor-borger-tager-midlertidigt-ophold
tabGrundbeloebTekniskIndregning;tabGrundbeloebTekniskIndregning
tabPensionstillaegTekniskIndregning;tabPensionstillaegTekniskIndregning
Efterlevelsespension ophører 1. til 30. januar næste år;ab-efterlevelsespension-ophoerer-1-til-30-januar-naeste-aar
Samlever samme opg.per;ab-samlever-samme-opgper
MB - Skal der indhentes oplysninger om dansk indkomst?;mb-skal-der indhentes oplysninger om dansk indkomst?
MB - Skal der vedhæftes blanketter for 1 periode?;mb-skal-der-vedhæftes-blanketter-for-1-periode?
MB - Skal der vedhæftes blanketter for 2 perioder?;mb-skal-der-vedhæftes-blanketter-for-2-perioder?
MB - Skal der vedhæftes blanketter for 3 perioder?;mb-skal-der-vedhæftes-blanketter-for-3-perioder?
MB - Dokumentation modtaget - mangler der yderligere?;mb-dokumentation-modtaget-mangler-der-yderligere
Midlertidig aconto;ab-midlertidig-aconto
Midlertidig aconto indberettet og anvendes;ab-midlertidig-aconto-indberettet-og-anvendes
Midlertidig aconto indberettet men anvendes ikke;ab-midlertidig-aconto-indberettet-men-anvendes-ikke
Varmetillæg varmeudgift opgjort årlig;af-varmetillaeg-varmeudgift-opgjort-aarlig
TA - Midlertidig Aconto udgift;tMidlertidigAcontoudgift
TA - Midlertidig Aconto Indberettet;tMidlertidigAcontoIndberettet
TMidlertidig aconto indberettet for flere varmekilder;tabMidlertidigAcontoIndberettetForFlereVarmekilder
TVarmetillæg midlertidig aconto indberettet varmekilde;tafVarmetillaegMidlertidigAcontoIndberettetVarmekilde
TVarmetillæg startdato midlertidig aconto regning;tafVarmetillaegStartdatoMidlertidigAcontoRegning
TVarmetillæg slutdato midlertidig aconto regning;tafVarmetillaegSlutdatoMidlertidigAcontoRegning
